0.0005	0.000625	0
0.00475	0.004875	1
0.006375	0.006625	2
0.006875	0.007125	3
0.007625	0.008	4
0.008375	0.008875	5
0.013	0.01325	6
0.0155	0.015625	7
0.016875	0.0175	8
0.01775	0.01825	9
0.019875	0.020125	10
0.021375	0.02175	11
0.027875	0.028	12
0.029125	0.02925	13
0.0315	0.031875	14
0.036625	0.036875	15
0.038875	0.039	16
0.03925	0.039375	17
0.042375	0.04275	18
0.04875	0.049125	19
0.049625	0.04975	20
0.0525	0.052625	21
0.060625	0.061	22
0.0635	0.063625	23
0.064125	0.0645	24
0.069375	0.0695	25
0.07025	0.0705	26
0.075375	0.075625	27
0.0835	0.083625	28
0.094125	0.09425	29
